cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8
92204266#0,,,,46151427#0,,,,-70509857#0
231879072#0,,,,1031963665#1,,,,-43724393#1
51937091#1,,,,820180321,,,,157366912#0
92204268#0,,,,-1055857393#1,,,,1257133856
850032932#0,,,,1245764635#0,,,,156942465#4
231876387#0-AddedOffRampEdge,,,,97671426#3,,,,-158177940#8
48780823,,,,97671343#2,,,,1257133854
-1155226161,,,,273211041,,,,43099711#1
176046283#0,,,,97671385,,,,290874175#1
31887177#0,,,,95274354#0,,,,56240930#1
181579868#4,,,,264298077#2,,,,-148642782#1
92204277,,,,198900396#3,,,,174653382#2
228056324#2,,,,240392347#2,,,,878619658
-184577945,,,,97671387#5,,,,153792680#0
213738419,,,,-680782188#7,,,,-1023912412
682703711#1,,,,97671376#9,,,,-314088440#6
379075311,,,,157292833#14,,,,319196855#0
51771205#1,,,,97671461#0,,,,30947123#0
537438903#2,,,,-172598552#0,,,,-158177940#3
35216758,,,,680782188#9,,,,43322798#4
92204285#1,,,,378284518#0,,,,55886807
-254304959,,,,97671376#11,,,,-256511169#0
33627592,,,,-601322290,,,,-148642788#0
89423681#0,,,,178989944#3,,,,1011347580#0
264114579#2,,,,178988162#6,,,,57889595#2
174757582#7,,,,58704022#4,,,,156938654#2
175994175#0,,,,-680782193#0,,,,70509862
-682703707,,,,240388169#2,,,,772804659
156643842#5,,,,97671386#1,,,,-98593799#1
682420451#5,,,,95274374#0,,,,-319196848#6
181579868#2,,,,97685711#3,,,,-42305099#1
47982503#0,,,,95274348#1,,,,126859163#2
958539570#3,,,,97685742#3,,,,-99702562#3
-175994175#1,,,,242897855,,,,103751347#8
175994177#0,,,,97671396#0,,,,-135838552#2
203035385#0,,,,95274385#4,,,,-148642768
175994167,,,,23488890#0,,,,154027557#0
-263941940#0,,,,269150842#4,,,,-43699319#1
-263936851#1,,,,157292833#12,,,,-314088440#4
42294756#1,,,,355238450#0,,,,319196848#7
32122364,,,,97685761#4,,,,198929893#1
229875719#1,,,,538982925#0,,,,-153792698#0
228056328#0,,,,1055857394#0,,,,31297682#7
145569058#2,,,,1031963663#1,,,,956136646#2
92204275,,,,-680782193#3,,,,-31297738#2
263865429#1,,,,163198815#2,,,,-98593799#2
254304963#1,,,,215959964#0,,,,
89423682#2,,,,97671476#1,,,,
92204258#3,,,,95274380,,,,
-263881209,,,,97685742#1,,,,
42294744#2,,,,97685687,,,,
874155679#8,,,,46151739#6,,,,
44887721#2,,,,-97671458,,,,
-92204249,,,,172598637#4,,,,
145569102#8,,,,1245764634,,,,
263935797#5,,,,163198815#6,,,,
92204285#2,,,,54786433#1,,,,
341182776,,,,27695601#1,,,,
93325450#2,,,,273211091#6,,,,
-92403837,,,,97671478#0,,,,
-89423678#2,,,,95274372#0,,,,
93470052#1,,,,636502357#1,,,,
108891397#1,,,,97671480#3,,,,
874155681#2,,,,-24061029#3,,,,
-92204268#0,,,,187797933,,,,
-48780823,,,,74314562#0,,,,
1244284993,,,,97685693#0,,,,
682420451#4,,,,23770583#3,,,,
93470027#0,,,,58704022#2,,,,
34951691,,,,4848943#2,,,,
156643284#5,,,,95277522#1,,,,
264114581#0,,,,1245764636#3,,,,
22989309#0,,,,273211091#5,,,,
1244284991,,,,286434746,,,,
35216114#2,,,,97671427#2,,,,
-181579868#4,,,,-525291477,,,,
51937091#2,,,,-187797935#0,,,,
33625073#1,,,,97685630,,,,
-92204277,,,,97671426#0,,,,
93325433#0,,,,893375978#2,,,,
379075282,,,,95274313,,,,
682699857#2,,,,74314557#0,,,,
-682699857#8,,,,269150811#0,,,,
181579922,,,,97671353,,,,
51937094#0,,,,240388169#8,,,,
264070491#1,,,,-378279504,,,,
874155679#4,,,,1031976626#1,,,,
408269726#3,,,,97685672,,,,
47982503#1,,,,-355239976#0,,,,
874155681#0,,,,1085022605#1,,,,
231876387#0,,,,1085022609,,,,
263881207,,,,97685621#1,,,,
-181579868#3,,,,95274372#3,,,,
42294744#4,,,,355239976#1,,,,
89043373#5,,,,1245764636#0,,,,
23260750,,,,97671459,,,,
264017278#0,,,,-24061029#8,,,,
262051128#1,,,,240388168#4,,,,
263955768#0,,,,58704022#0,,,,
93325450#0,,,,97685776,,,,
92403802#0,,,,1085022605#4,,,,
-175994167,,,,-46151742,,,,
41818364#2,,,,97685670,,,,
44887720#3,,,,97671386#3,,,,
47982496#1,,,,95274385#8,,,,
203035385#1,,,,240392347#0,,,,
874155676#2,,,,97671396#1,,,,
-263865429#2,,,,97671366#2,,,,
92204258#2,,,,478293893#0,,,,
-89423678#1,,,,97671480#2,,,,
-93470047,,,,1245147140#1,,,,
263941940#1,,,,690984489,,,,
93325426#1,,,,97671472,,,,
327521905,,,,1245989818#0,,,,
682703711#3,,,,97685712#2,,,,
254304965,,,,680782197#0,,,,
176046423,,,,1234173061,,,,
145569058#5,,,,1284334995#2,,,,
682699856,,,,97671411#2,,,,
-175994173#0,,,,680782192#1,,,,
41520004#1,,,,1177591509,,,,
181579868#8,,,,1245147140#0,,,,
682703711#4,,,,-97671337#3,,,,
47982503#2,,,,1245764638#0,,,,
263935797#3,,,,97685779#2,,,,
537438903#0,,,,-97671411#1,,,,
156643842#0,,,,97671445#0,,,,
-263935797#6,,,,97671479,,,,
682699858#0,,,,178988161#2,,,,
-31624134#3,,,,157292893,,,,
263865429#0,,,,198900384#6,,,,
-34951880#2,,,,69963039#0,,,,
-263956788#3,,,,689924124#1,,,,
958539560#0,,,,342481201#13,,,,
-22989309#1,,,,95274398#1,,,,
657500679,,,,97671392#0,,,,
51937092#0,,,,-680782188#3,,,,
-34951866,,,,378279498,,,,
175994173#1,,,,97671452#2,,,,
-93325433#0,,,,97671455#0,,,,
181579868#0,,,,46151427#1,,,,
228056324#0,,,,23488890#2,,,,
254304969#0,,,,760760235#1,,,,
51771205#0,,,,355238450#1,,,,
-89423681#1,,,,215959964#2,,,,
93325450#0-AddedOffRampEdge,,,,97671480#4,,,,
41818365,,,,667962678#0,,,,
264021277#0,,,,342481200,,,,
682420451#3,,,,97671356,,,,
264017276#1,,,,97685711#2,,,,
-231665609,,,,,,,,
23260642#0,,,,,,,,
1155226161,,,,,,,,
41519621#0,,,,,,,,
874155679#0,,,,,,,,
90636489,,,,,,,,
682699851#1,,,,,,,,
-379075316,,,,,,,,
93325426#0,,,,,,,,
34951786#1,,,,,,,,
231876388#0,,,,,,,,
-92403802#1,,,,,,,,
51937092#1,,,,,,,,
-92403802#0,,,,,,,,
-219973540#1,,,,,,,,
24989806#0,,,,,,,,
993372630,,,,,,,,
34951714#1,,,,,,,,
33640827#1,,,,,,,,
35216114#3,,,,,,,,
55063538,,,,,,,,
682699858#1,,,,,,,,
-263941940#1,,,,,,,,
35216848#3,,,,,,,,
682703707,,,,,,,,
145569102#2,,,,,,,,
-327521905,,,,,,,,
92403859#1,,,,,,,,
958539563#3,,,,,,,,
-682699856,,,,,,,,
-181579868#9,,,,,,,,
175994175#1,,,,,,,,
44887721#1,,,,,,,,
33637414,,,,,,,,
-263935798#3,,,,,,,,
264021277#2,,,,,,,,
-537438903#1,,,,,,,,
263941940#0,,,,,,,,
264021710,,,,,,,,
264017864#1,,,,,,,,
228056330#0,,,,,,,,
327402833#0,,,,,,,,
-181579868#6,,,,,,,,
86867130#1,,,,,,,,
41519891#0,,,,,,,,
-34951880#3,,,,,,,,
254306532,,,,,,,,
682703706,,,,,,,,
1137751238,,,,,,,,
32122466,,,,,,,,
31887177#2,,,,,,,,
1244284992,,,,,,,,
42294745#0,,,,,,,,
128715173,,,,,,,,
31050815#1,,,,,,,,
-34951880#1,,,,,,,,
46983934#1,,,,,,,,
145569058#6,,,,,,,,
51771534,,,,,,,,
27085148#0,,,,,,,,
31050815#0,,,,,,,,
264069678,,,,,,,,
-34951786#0,,,,,,,,
263865427,,,,,,,,
753523080#0,,,,,,,,
145569102#0,,,,,,,,
264448295#4,,,,,,,,
139506059#2,,,,,,,,
-128715078#2,,,,,,,,
355080033,,,,,,,,
-34951786#1,,,,,,,,
128715160,,,,,,,,
24989745#1,,,,,,,,
682699857#4,,,,,,,,
92204258#1,,,,,,,,
203035364,,,,,,,,
263881203#0,,,,,,,,
228056329#0,,,,,,,,
139506059#7,,,,,,,,
-993372630,,,,,,,,
-537438903#3,,,,,,,,
35216848#0,,,,,,,,
-231779274,,,,,,,,
22730620#1,,,,,,,,
33625073#3,,,,,,,,
41818364#0,,,,,,,,
32122426#0,,,,,,,,
264019964,,,,,,,,
-264017864#1,,,,,,,,
264448295#7,,,,,,,,
254304963#0,,,,,,,,
42294744#1,,,,,,,,
145569102#1,,,,,,,,
51933193#0,,,,,,,,
34951863,,,,,,,,
41818367#4,,,,,,,,
139504332#3,,,,,,,,
379075338#0,,,,,,,,
89423678#0,,,,,,,,
93470047,,,,,,,,
27085148#3,,,,,,,,
34951755#0,,,,,,,,
175994173#0,,,,,,,,
41818364#1,,,,,,,,
-682703706,,,,,,,,
56255801,,,,,,,,
93325453#0,,,,,,,,
92204278#0,,,,,,,,
33625073#6,,,,,,,,
263935794#1,,,,,,,,
44887720#2,,,,,,,,
35216114#1,,,,,,,,
682712369#5,,,,,,,,
24989745#0,,,,,,,,
31624134#1,,,,,,,,
93325429,,,,,,,,
34951880#2,,,,,,,,
-263935798#0,,,,,,,,
263956788#2,,,,,,,,
263935797#0,,,,,,,,
-263865427,,,,,,,,
93325453#1,,,,,,,,
-1298032332#0,,,,,,,,
537438903#7,,,,,,,,
-175987706#0,,,,,,,,
34951866,,,,,,,,
175987706#1,,,,,,,,
139506059#5,,,,,,,,
-128715078#1,,,,,,,,
-355080033,,,,,,,,
-93325433#1,,,,,,,,
262051128#0,,,,,,,,
41818366,,,,,,,,
1057181619#0,,,,,,,,
33640827#2,,,,,,,,
264448295#8,,,,,,,,
408104677#0,,,,,,,,
-161966885,,,,,,,,
-503056675,,,,,,,,
254326654#2,,,,,,,,
89219856#0,,,,,,,,
24024043#0,,,,,,,,
254326632#6,,,,,,,,
-264459821#1,,,,,,,,
866351232#2,,,,,,,,
280266451#4,,,,,,,,
34950844#1,,,,,,,,
956159245#0,,,,,,,,
33118878,,,,,,,,
89418354#3,,,,,,,,
24024042#1,,,,,,,,
32812356#2,,,,,,,,
-24060958#2,,,,,,,,
23260462#0,,,,,,,,
572864358#1,,,,,,,,
149415581#0,,,,,,,,
-89418364#1,,,,,,,,
-162324884,,,,,,,,
-89430672,,,,,,,,
46982284#1,,,,,,,,
181579907,,,,,,,,
77100164#10,,,,,,,,
-75259451#12,,,,,,,,
89419994,,,,,,,,
89420432#1,,,,,,,,
544270675#1,,,,,,,,
254326644#1,,,,,,,,
570457257#1,,,,,,,,
254326652#1,,,,,,,,
89419990#4,,,,,,,,
32812366#1,,,,,,,,
24060958#13,,,,,,,,
178757958#1,,,,,,,,
-469105032,,,,,,,,
33549498#3,,,,,,,,
34950728#2,,,,,,,,
552131809#0,,,,,,,,
34949380#3,,,,,,,,
75259453#2,,,,,,,,
-264459846,,,,,,,,
1177605680#2,,,,,,,,
277789325#5,,,,,,,,
34951010#0,,,,,,,,
437261899,,,,,,,,
34949380#0,,,,,,,,
199311797#3,,,,,,,,
682693826,,,,,,,,
463284094#3,,,,,,,,
-265221588,,,,,,,,
446324983,,,,,,,,
543054885#3,,,,,,,,
-89417153,,,,,,,,
653297991,,,,,,,,
55686081#0,,,,,,,,
458842531#3,,,,,,,,
580672559#0,,,,,,,,
89420431#0,,,,,,,,
-47127860#1,,,,,,,,
199311794#2,,,,,,,,
458283475#8,,,,,,,,
254326632#3,,,,,,,,
43550983#1,,,,,,,,
141597714,,,,,,,,
55686195#2,,,,,,,,
591488198#0,,,,,,,,
75259453#3,,,,,,,,
33050418#1,,,,,,,,
1133878589#3,,,,,,,,
89430684#0,,,,,,,,
-89430681#0,,,,,,,,
-91848892,,,,,,,,
89240073#3,,,,,,,,
32812349#1,,,,,,,,
-91854853#1,,,,,,,,
41519033#1,,,,,,,,
24024045#8,,,,,,,,
459618758,,,,,,,,
85568120#3,,,,,,,,
264459819#0,,,,,,,,
-95399107#1,,,,,,,,
32812345#1,,,,,,,,
47072152#0,,,,,,,,
580672560,,,,,,,,
265271590#3,,,,,,,,
-47072155,,,,,,,,
-24060958#1,,,,,,,,
175403789,,,,,,,,
665999473,,,,,,,,
545973314,,,,,,,,
89219857,,,,,,,,
328531825#0,,,,,,,,
587067865#0,,,,,,,,
-89419986#0,,,,,,,,
584343267#3,,,,,,,,
365354843,,,,,,,,
72463458#2,,,,,,,,
24024045#11,,,,,,,,
91017767#0,,,,,,,,
-24024046#0,,,,,,,,
301494972#1,,,,,,,,
220470668#2,,,,,,,,
89419987#1,,,,,,,,
24989774#2,,,,,,,,
26322270#0,,,,,,,,
254326654#5,,,,,,,,
-328531782#2,,,,,,,,
190730289#4,,,,,,,,
328531802#2,,,,,,,,
75259451#2,,,,,,,,
32812321,,,,,,,,
91854817,,,,,,,,
-264459825#2,,,,,,,,
581953131#0,,,,,,,,
75259451#4,,,,,,,,
463284093#0,,,,,,,,
41519033#3,,,,,,,,
517921702#0,,,,,,,,
254326637#2,,,,,,,,
1021405848,,,,,,,,
562912001#2,,,,,,,,
265271589,,,,,,,,
86867128#0,,,,,,,,
34951246,,,,,,,,
170598722#1,,,,,,,,
-89417144#0,,,,,,,,
-1133878592#1,,,,,,,,
72463512#1,,,,,,,,
81606324#3,,,,,,,,
34949380#1,,,,,,,,
89206670,,,,,,,,
-34950844#1,,,,,,,,
34951010#2,,,,,,,,
516537246,,,,,,,,
89430682#2,,,,,,,,
24024043#3,,,,,,,,
328531802#8,,,,,,,,
-33118878,,,,,,,,
149415593#2,,,,,,,,
531013210#0,,,,,,,,
280266451#1,,,,,,,,
-23260462#0,,,,,,,,
89828152#1,,,,,,,,
570457257#2,,,,,,,,
62361251,,,,,,,,
217860244,,,,,,,,
89418356#1,,,,,,,,
81606325#0,,,,,,,,
-866351232#0,,,,,,,,
55686075#0,,,,,,,,
-89420432#1,,,,,,,,
-776857042,,,,,,,,
33627869,,,,,,,,
543023530#1,,,,,,,,
33640794#10,,,,,,,,
-570457257#1,,,,,,,,
228056327#0,,,,,,,,
190730289#0,,,,,,,,
32812366#4,,,,,,,,
32130055#0,,,,,,,,
460851984#6,,,,,,,,
33050410#0,,,,,,,,
33118881#1,,,,,,,,
1104675206,,,,,,,,
562912001#1,,,,,,,,
254326626#1,,,,,,,,
464000322#1,,,,,,,,
48391175#0,,,,,,,,
181579920,,,,,,,,
170598719#0,,,,,,,,
264459825#0,,,,,,,,
264459843#8,,,,,,,,
-543054885#4,,,,,,,,
-24060958#6,,,,,,,,
-367360995,,,,,,,,
458089581,,,,,,,,
264459819#3,,,,,,,,
91854868,,,,,,,,
89240073#2,,,,,,,,
-682693826,,,,,,,,
-463284093#1,,,,,,,,
89418357,,,,,,,,
41519038#4,,,,,,,,
81606324#8,,,,,,,,
23260462#4,,,,,,,,
512044960,,,,,,,,
46982301#3,,,,,,,,
-43550255,,,,,,,,
33050419#2,,,,,,,,
34998006#5,,,,,,,,
55686275,,,,,,,,
24024045#0,,,,,,,,
-264459842#3,,,,,,,,
254326646#0,,,,,,,,
509241395#4,,,,,,,,
199311794#6,,,,,,,,
463284095#3,,,,,,,,
89420432#0,,,,,,,,
26322270#2,,,,,,,,
-541902883,,,,,,,,
46982270#0,,,,,,,,
543209655#5,,,,,,,,
-89419986#1,,,,,,,,
-91854884,,,,,,,,
464558883#0,,,,,,,,
958537535#2,,,,,,,,
85568120#2,,,,,,,,
-75259451#7,,,,,,,,
217858092,,,,,,,,
89213772#0,,,,,,,,
584343268,,,,,,,,
-459618758,,,,,,,,
-91854870#1,,,,,,,,
46982708,,,,,,,,
557375051#2,,,,,,,,
89419992#1,,,,,,,,
544812705#0,,,,,,,,
1177605680#3,,,,,,,,
31610667#0,,,,,,,,
24989774#4,,,,,,,,
509241395#2,,,,,,,,
386286309#0,,,,,,,,
72463458#1,,,,,,,,
89418355#1,,,,,,,,
581953131#2,,,,,,,,
24024042#2,,,,,,,,
89430678#3,,,,,,,,
254326654#0,,,,,,,,
552131805,,,,,,,,
193618812#3,,,,,,,,
91854875#1,,,,,,,,
544812705#3,,,,,,,,
43550983#2,,,,,,,,
-301494972#1,,,,,,,,
220470667#1,,,,,,,,
277789325#2,,,,,,,,
543209655#0,,,,,,,,
162324885,,,,,,,,
1025830855#0,,,,,,,,
193618812#13,,,,,,,,
543055421#0,,,,,,,,
503056674,,,,,,,,
89430686#0,,,,,,,,
23260462#2,,,,,,,,
501179305,,,,,,,,
149415593#1,,,,,,,,
254325085,,,,,,,,
89430683#0,,,,,,,,
-91854817,,,,,,,,
588307664#1,,,,,,,,
228056312#0,,,,,,,,
682712374#1,,,,,,,,
-170598722#1,,,,,,,,
89206668,,,,,,,,
89240079,,,,,,,,
-265271565,,,,,,,,
24060958#9,,,,,,,,
682262110#2,,,,,,,,
199311798#6,,,,,,,,
314210315#4,,,,,,,,
-199311782#3,,,,,,,,
86867128#1,,,,,,,,
1144431724,,,,,,,,
89420433#3,,,,,,,,
89213766#14,,,,,,,,
170598719#1,,,,,,,,
-866351232#12,,,,,,,,
24024043#2,,,,,,,,
-546952811,,,,,,,,
89420431#3,,,,,,,,
72463851#2,,,,,,,,
544812705#4,,,,,,,,
543023530#0,,,,,,,,
1177605680#1,,,,,,,,
636894188#0,,,,,,,,
89240073#1,,,,,,,,
-264459843#12,,,,,,,,
89430686#2,,,,,,,,
149415590,,,,,,,,
33050419#0,,,,,,,,
89420436#0,,,,,,,,
517927340#0,,,,,,,,
-33050410#1,,,,,,,,
41260712#1,,,,,,,,
-264459825#4,,,,,,,,
161966885,,,,,,,,
264459837,,,,,,,,
918334710#3,,,,,,,,
-23260461#1,,,,,,,,
-170598719#0,,,,,,,,
-264459825#0,,,,,,,,
-264459843#9,,,,,,,,
32812356#3,,,,,,,,
-1039905091#1,,,,,,,,
301494974#0,,,,,,,,
517820536#1,,,,,,,,
237528239#1,,,,,,,,
264459826#0,,,,,,,,
-91854868,,,,,,,,
89430680#0,,,,,,,,
89418359,,,,,,,,
33050418#0,,,,,,,,
34951200,,,,,,,,
-89420431#1,,,,,,,,
517921702#2,,,,,,,,
958537535#4,,,,,,,,
681548654#0,,,,,,,,
258303757#0,,,,,,,,
-254326623#3,,,,,,,,
41519045#1,,,,,,,,
162324884,,,,,,,,
543054882,,,,,,,,
75259451#11,,,,,,,,
460851984#4,,,,,,,,
-89419986#4,,,,,,,,
48788423#2,,,,,,,,
-463284095#3,,,,,,,,
32812356#4,,,,,,,,
542264756#1,,,,,,,,
52517547#2,,,,,,,,
193618812#10,,,,,,,,
32130055#1,,,,,,,,
81606325#2,,,,,,,,
682262115#5,,,,,,,,
292495150#0,,,,,,,,
332390573#0,,,,,,,,
48391175#4,,,,,,,,
328531827#4,,,,,,,,
314210315#2,,,,,,,,
89418356#0,,,,,,,,
173022744#0,,,,,,,,
-46982708,,,,,,,,
395264630#1,,,,,,,,
-89419992#1,,,,,,,,
178757958#0,,,,,,,,
264459845#2,,,,,,,,
364080011#1,,,,,,,,
24060958#7,,,,,,,,
1177605681#2,,,,,,,,
237528239#3,,,,,,,,
-34951210,,,,,,,,
265221588,,,,,,,,
314210315#0,,,,,,,,
-89418358,,,,,,,,
264459853#2,,,,,,,,
220470667#0,,,,,,,,
89430684#3,,,,,,,,
-301494970#1,,,,,,,,
199311795,,,,,,,,
89418354#2,,,,,,,,
-162324885,,,,,,,,
264459842#3,,,,,,,,
-23260462#2,,,,,,,,
-52518334#0,,,,,,,,
-501179305,,,,,,,,
-130453217#3,,,,,,,,
190730289#2,,,,,,,,
47127860#0,,,,,,,,
648175929,,,,,,,,
190730289#1,,,,,,,,
89430681#0,,,,,,,,
52924701#1,,,,,,,,
55686236#2,,,,,,,,
91854853#1,,,,,,,,
24024045#13,,,,,,,,
-588307664#1,,,,,,,,
-89828152#0,,,,,,,,
33640794#0,,,,,,,,
89182753,,,,,,,,
89430676#0,,,,,,,,
258303757#2,,,,,,,,
33118881#0,,,,,,,,
72463458#4,,,,,,,,
24060958#0,,,,,,,,
264459819#2,,,,,,,,
24024045#5,,,,,,,,
244317039#6,,,,,,,,
91705267#0,,,,,,,,
89430678#6,,,,,,,,
89419986#0,,,,,,,,
72463458#0,,,,,,,,
24024046#0,,,,,,,,
-91216434#0,,,,,,,,
-546231958,,,,,,,,
24989774#0,,,,,,,,
-170598719#1,,,,,,,,
-1039905092#2,,,,,,,,
46982301#5,,,,,,,,
328531828#3,,,,,,,,
328531782#2,,,,,,,,
89206666,,,,,,,,
1177605680#4,,,,,,,,
-89420431#3,,,,,,,,
-164586351,,,,,,,,
82624905#1,,,,,,,,
574761506,,,,,,,,
89419202#1,,,,,,,,
33640794#3,,,,,,,,
458283474#0,,,,,,,,
89430680#1,,,,,,,,
72463603#0,,,,,,,,
796186460#0,,,,,,,,
264459825#2,,,,,,,,
-34951053#2,,,,,,,,
89419990#1,,,,,,,,
254326637#3,,,,,,,,
32122517#2,,,,,,,,
34950844#0,,,,,,,,
264459842#6,,,,,,,,
89420435#1,,,,,,,,
41519038#0,,,,,,,,
-89420436#0,,,,,,,,
543054881,,,,,,,,
328531825#3,,,,,,,,
33640794#5,,,,,,,,
682262113,,,,,,,,
-23260462#1,,,,,,,,
32812366#2,,,,,,,,
-459037937#2,,,,,,,,
264459819#4,,,,,,,,
46982270#2,,,,,,,,
52928549#0,,,,,,,,
72463851#3,,,,,,,,
34950710,,,,,,,,
-918334710#3,,,,,,,,
89417144#0,,,,,,,,
1133878592#0,,,,,,,,
89234087#0,,,,,,,,
1156068079,,,,,,,,
161966884,,,,,,,,
89240072,,,,,,,,
-301494974#1,,,,,,,,
-34950844#3,,,,,,,,
-264459826#1,,,,,,,,
1019987802#0,,,,,,,,
-55686195#1,,,,,,,,
-588307664#0,,,,,,,,
-463284095#2,,,,,,,,
55686236#4,,,,,,,,
328531802#14,,,,,,,,
334085546,,,,,,,,
27695695#0,,,,,,,,
26603888,,,,,,,,
543023529#1,,,,,,,,
-458673382#2,,,,,,,,
89240074#1,,,,,,,,
48391239#1,,,,,,,,
254326637#1,,,,,,,,
75259451#8,,,,,,,,
-264459842#12,,,,,,,,
-1133878589#2,,,,,,,,
190730289#3,,,,,,,,
33625005#2,,,,,,,,
-89430683#1,,,,,,,,
34951236#2,,,,,,,,
89430675,,,,,,,,
199311798#4,,,,,,,,
-89418356#0,,,,,,,,
543054885#4,,,,,,,,
544270674#2,,,,,,,,
-46982284#0,,,,,,,,
24060958#5,,,,,,,,
-91854872,,,,,,,,
367360994#0,,,,,,,,
-549451720,,,,,,,,
-1021351340#1,,,,,,,,
328531827#2,,,,,,,,
-364080011#2,,,,,,,,
-24060958#7,,,,,,,,
149415594#0,,,,,,,,
-24024046#1,,,,,,,,
26322270#1,,,,,,,,
463284093#1,,,,,,,,
-513567595,,,,,,,,
463284094#0,,,,,,,,
160745254#0,,,,,,,,
-264459853#3,,,,,,,,
43550255,,,,,,,,
-89418364#0,,,,,,,,
23443416#1,,,,,,,,
52928549#1,,,,,,,,
89420433#1,,,,,,,,
34951010#1,,,,,,,,
264459839#0,,,,,,,,
89419990#2,,,,,,,,
458673382#0,,,,,,,,
173022744#3,,,,,,,,
541902883,,,,,,,,
458673380,,,,,,,,
89430678#4,,,,,,,,
-47127860#0,,,,,,,,
32122515#1,,,,,,,,
258303760#1,,,,,,,,
89419986#1,,,,,,,,
91854884,,,,,,,,
33050414#0,,,,,,,,
-328531782#1,,,,,,,,
32812366#0,,,,,,,,
75259451#6,,,,,,,,
460851984#2,,,,,,,,
89430678#5,,,,,,,,
91854870#1,,,,,,,,
48391008#0,,,,,,,,
72463851#0,,,,,,,,
-89182753,,,,,,,,
-228056313,,,,,,,,
-33118881#0,,,,,,,,
-72463458#4,,,,,,,,
-458283475#2,,,,,,,,
918334710#2,,,,,,,,
254326646#1,,,,,,,,
199311794#8,,,,,,,,
-72463458#0,,,,,,,,
82624902,,,,,,,,
41260920,,,,,,,,
264459828,,,,,,,,
463284093#2,,,,,,,,
-536082140,,,,,,,,
544340291#3,,,,,,,,
89213772#3,,,,,,,,
33640794#14,,,,,,,,
-264459830,,,,,,,,
-23260460#1,,,,,,,,
-89419202#1,,,,,,,,
-91854877#2,,,,,,,,
-72463603#0,,,,,,,,
328531802#3,,,,,,,,
-33626801,,,,,,,,
91854839#0,,,,,,,,
89418354#1,,,,,,,,
89430682#1,,,,,,,,
-34950844#0,,,,,,,,
-264459842#10,,,,,,,,
264459849,,,,,,,,
264459843#5,,,,,,,,
46982423#2,,,,,,,,
46982301#8,,,,,,,,
31887171#0,,,,,,,,
463284095#4,,,,,,,,
-52928549#0,,,,,,,,
301494973#3,,,,,,,,
-91854875#0,,,,,,,,
584343267#4,,,,,,,,
89219849,,,,,,,,
-301494971#2,,,,,,,,
-89234087#0,,,,,,,,
91017767#1,,,,,,,,
89881818,,,,,,,,
-364080011#4,,,,,,,,
-43550256,,,,,,,,
258303757#4,,,,,,,,
683454880,,,,,,,,
-161966884,,,,,,,,
89234350#0,,,,,,,,
33625005#0,,,,,,,,
46982270#3,,,,,,,,
199311782#2,,,,,,,,
-1019987802#2,,,,,,,,
264459843#3,,,,,,,,
244317039#12,,,,,,,,
546604219,,,,,,,,
866351232#4,,,,,,,,
546952811,,,,,,,,
46982274#0,,,,,,,,
-334085546,,,,,,,,
-264459853#1,,,,,,,,
-89240074#1,,,,,,,,
544270674#1,,,,,,,,
458673383#0,,,,,,,,
264459843#11,,,,,,,,
-75259451#10,,,,,,,,
89420433#2,,,,,,,,
89828152#2,,,,,,,,
41519038#1,,,,,,,,
-570457257#0,,,,,,,,
41519052,,,,,,,,
43991628#2,,,,,,,,
264459825#4,,,,,,,,
958537535#0,,,,,,,,
170598722#0,,,,,,,,
23260461#0,,,,,,,,
-89430681#1,,,,,,,,
134668783#1,,,,,,,,
89430682#0,,,,,,,,
85568120#4,,,,,,,,
1039905091#0,,,,,,,,
328531827#0,,,,,,,,
-91854885#1,,,,,,,,
46982301#4,,,,,,,,
-149415594#1,,,,,,,,
958537535#1,,,,,,,,
-1127706328#0,,,,,,,,
682262112#0,,,,,,,,
89420431#1,,,,,,,,
-47072157#1,,,,,,,,
173022744#2,,,,,,,,
89418363,,,,,,,,
24024045#6,,,,,,,,
46982301#0,,,,,,,,
33640794#12,,,,,,,,
-160745254#2,,,,,,,,
254326623#2,,,,,,,,
280266451#2,,,,,,,,
89210821#0,,,,,,,,
-23443416#1,,,,,,,,
-52928549#1,,,,,,,,
-264459842#5,,,,,,,,
89206671#0,,,,,,,,
32812349#0,,,,,,,,
89419986#4,,,,,,,,
89219861#1,,,,,,,,
-458673382#1,,,,,,,,
91854886#0,,,,,,,,
-89418360,,,,,,,,
24024045#10,,,,,,,,
32812356#0,,,,,,,,
328531790#0,,,,,,,,
427171555,,,,,,,,
328531802#0,,,,,,,,
89419990#3,,,,,,,,
254326632#5,,,,,,,,
-866351232#1,,,,,,,,
91854814,,,,,,,,
52517547#0,,,,,,,,
89419197,,,,,,,,
280266451#5,,,,,,,,
682262619#0,,,,,,,,
-72463458#6,,,,,,,,
1021351340#3,,,,,,,,
-543054885#2,,,,,,,,
557375051#1,,,,,,,,
518843396,,,,,,,,
-89419986#2,,,,,,,,
-918334710#2,,,,,,,,
89196126#1,,,,,,,,
548970510,,,,,,,,
89418358,,,,,,,,
34950625#1,,,,,,,,
544342030#0,,,,,,,,
543209655#3,,,,,,,,
-47072156,,,,,,,,
178757945#2,,,,,,,,
89420431#2,,,,,,,,
89240082#2,,,,,,,,
-82624902,,,,,,,,
301494970#0,,,,,,,,
34951236#0,,,,,,,,
